date, pm25, pm10, o3, no2, so2, co
2/26/2015,112,22,32,12,5,4
2/27/2015,56,32,21,16,9,7
2/28/2015,77,103,6,21,7,13
3/1/2015,205,61,30,22,6,7
3/2/2015,104,68,28,28,14,15
3/3/2015,126,37,29,5,1,2
3/4/2015,31,29,29,15,6,5
3/5/2015,69,82,24,30,25,14
3/6/2015,179,128,27,41,34,20
3/7/2015,251,148,38,44,25,22
3/8/2015,282,31,32,28,16,14
3/9/2015,166,20,29,6,1,2
3/10/2015,31,37,30,19,6,5
3/11/2015,79,48,29,30,9,10
3/12/2015,107,69,24,36,14,14
3/13/2015,156,58,34,31,12,11
3/14/2015,127,78,16,39,24,16
3/15/2015,174,117,38,42,16,17
3/16/2015,186,184,16,43,20,18
3/17/2015,262,200,44,33,10,17
3/18/2015,262,58,36,26,7,6
3/19/2015,117,121,28,43,6,11
3/20/2015,169,119,39,27,3,5
3/21/2015,115,75,34,17,2,3
3/22/2015,65,73,36,10,2,3
3/23/2015,69,60,35,24,4,6
3/24/2015,101,80,38,33,17,16
3/25/2015,164,96,42,40,25,17
3/26/2015,185,95,57,28,13,8
3/27/2015,173,107,53,25,17,8
3/28/2015,174,223,36,16,5,5
3/29/2015,134,196,45,37,10,11
3/30/2015,165,190,63,36,16,13
3/31/2015,207,96,32,27,10,20
4/1/2015,196,55,33,27,2,7
4/2/2015,131,19,36,15,1,6
4/3/2015,110,27,48,16,2,5
4/4/2015,87,49,61,20,3,6
4/5/2015,137,69,38,18,2,6
4/6/2015,118,25,35,8,1,2
4/7/2015,72,29,36,14,2,3
4/8/2015,75,75,41,25,8,7
4/9/2015,171,103,52,32,12,11
4/10/2015,212,115,58,38,7,11
4/11/2015,231,86,57,25,11,18
4/12/2015,215,20,35,7,1,2
4/13/2015,62,22,51,11,1,3
4/14/2015,97,59,47,34,2,7
4/15/2015,150,195,42,43,8,9
4/16/2015,211,108,38,8,2,2
4/17/2015,95,112,40,29,11,7
4/18/2015,153,156,42,47,17,14
4/19/2015,197,78,42,19,4,6
4/20/2015,136,79,54,25,5,7
,,,,,,
1/1/2016,122, , , , , 
1/3/2016, , ,18,32,11,15
1/4/2016,221,10,28,17,2,7
1/5/2016,82,51,22,21,5,6
1/6/2016,79,28,25,21,5,6
1/7/2016,72,14,22,14,3,3
1/8/2016,43,29,21,22,6,6
1/9/2016,79,67,12,38,11,14
1/10/2016,142,49,14,32,13,14
1/11/2016,125,15,25,12,3,3
1/12/2016,47,17,24,16,3,4
1/13/2016,50,31,21,24,6,6
1/14/2016,64,63,17,40,12,15
1/15/2016,142,90,13,48,21,28
1/16/2016,184,86,10,33,26,21
1/17/2016,187,31,28,14,5,6
1/18/2016,87,39,27,10,1,3
1/19/2016,38,58,14,33,10,13
1/20/2016,132,101,6,40,37,36
1/21/2016,207,91,6,32,15,24
1/22/2016,198,21,28,10,3,5
1/23/2016,50,35,27,9,2,5
1/24/2016,47,42,27,14,3,4
1/25/2016,48,29,23,21,7,5
1/26/2016,69,43,23,20,9,6
1/27/2016,85,79,14,43,22,19
1/28/2016,181,107,19,43,27,25
1/29/2016,219,58,14,27,20,15
1/30/2016,148,45,21,25,10,11
1/31/2016,117,16,27,13,4,4
2/1/2016,53,15,27,16,4,5
2/2/2016,52,34,25,23,6,7
2/3/2016,80,33,18,30,8,9
2/4/2016,106,15,30,13,4,5
2/5/2016,58,27,32,9,2,3
2/6/2016,44,32,29,20,6,6
2/7/2016,76,50,31,21,10,9
2/8/2016,113,176,35,21,31,9
2/9/2016,221,38,37,20,10,10
2/10/2016,114,80,22,33,31,25
2/11/2016,182,114,18,33,28,28
2/12/2016,216,99,22,28,12,20
2/13/2016,206,13,30,5,2,3
2/14/2016,47,13,29,6,1,3
2/15/2016,32,36,28,8,1,3
2/16/2016,38,32,31,8,2,2
2/17/2016,40,40,30,25,8,8
2/18/2016,116,26,35,12,3,3
