date, pm25, pm10, o3, no2, so2, co
2/26/2015,169,57,44,27,14,16
2/27/2015,155,42,29,21,11,17
2/28/2015,136,28,32,14,10,12
3/1/2015,95,64,34,34,14,15
3/2/2015,157,77,50,39,20,16
3/3/2015,174,176,50,21,16,13
3/4/2015,164,75,38,31,19,25
3/5/2015,147,57,31,19,14,13
3/6/2015,152,92,47,27,18,21
3/7/2015,189,84,58,30,25,14
3/8/2015,175,71,25,34,28,17
3/9/2015,160,103,62,32,26,39
3/10/2015,196,123,31,29,23,20
3/11/2015,228,98,30,39,26,19
3/12/2015,173,102,49,43,31,14
3/13/2015,173,159,42,54,36,21
3/14/2015,185,140,30,46,30,20
3/15/2015,178,106,11,33,29,29
3/16/2015,194,84,52,31,32,20
3/17/2015,175,50,16,26,31,23
3/18/2015,135,25,18,20,15,19
3/19/2015,97,50,37,22,19,19
3/20/2015,131,51,32,26,18,28
3/21/2015,134,96,64,43,26,21
3/22/2015,176,130,59,50,32,25
3/23/2015,180,117,65,40,29,20
3/24/2015,163,123,71,40,32,23
3/25/2015,168,104,66,42,35,29
3/26/2015,153,77,53,37,28,22
3/27/2015,156,76,50,33,19,17
3/28/2015,164,102,58,45,25,20
3/29/2015,176,111,55,46,29,28
3/30/2015,182,58,37,28,27,24
3/31/2015,153,74,70,30,33,20
4/1/2015,154,97,46,40,38,32
4/2/2015,164,46,43,26,32,24
4/3/2015,96,94,30,39,50,30
4/4/2015,140,50,25,24,30,27
4/5/2015,141,48,57,19,8,15
4/6/2015,143,58,63,20,9,18
4/7/2015,161,65,55,15,9,25
4/8/2015,146,56,45,27,10,12
4/9/2015,136,75,62,38,19,13
4/10/2015,154,103,73,40,16,20
4/11/2015,200,155,91,62,25,24
4/12/2015,188,127,65,36,14,12
4/13/2015,136,97,71,29,12,8
4/14/2015,104,103,82,38,19,10
4/15/2015,141,119,37,55,29,18
4/16/2015,164,112,66,38,21,32
4/17/2015,171,134,63,42,43,47
4/18/2015,168,114,37,46,26,26
4/19/2015,170,48,51,21,13,18
4/20/2015,128,43,43,18,12,14
,,,,,,
1/1/2016,205, , , , , 
1/4/2016, ,182,17,32,12,24
1/5/2016,330,66,67,21,10,21
1/6/2016,202,78,35,19,13,14
1/7/2016,181,83,59,21,12,12
1/8/2016,194,126,54,34,23,26
1/9/2016,231,110,33,30,18,23
1/10/2016,222,80,43,26,12,18
1/11/2016,195,104,27,23,11,20
1/12/2016,278,52,28,17,9,12
1/13/2016,179,82,60,54,27,19
1/14/2016,202,124,49,40,22,15
1/15/2016,215,163,72,41,24,33
