date, pm25, pm10, o3, no2, so2, co
2/26/2015,98,32,9,41,3,6
2/27/2015,82,32,13,41,2,4
2/28/2015,71,33,25,35,2,4
3/1/2015,74,32,13,51,6,7
3/2/2015,73,43,21,39,2,5
3/3/2015,80,60,25,49,4,6
3/4/2015,128,34,18,37,5,6
3/5/2015,83,31,23,35,2,4
3/6/2015,78,41,15,35,2,5
3/7/2015,98,44,16,35,2,4
3/8/2015,103,32,24,33,2,3
3/9/2015,76,45,9,64,10,7
3/10/2015,105,49,38,38,4,4
3/11/2015,92,57,29,40,4,5
3/12/2015,130,22,9,45,6,7
3/13/2015,59,34,24,46,5,5
3/14/2015,79,50,25,50,5,5
3/15/2015,101,50,18,42,4,5
3/16/2015,116,46,9,44,7,6
3/17/2015,109,42,9,42,4,6
3/18/2015,100,34,13,40,3,6
3/19/2015,83,36,12,39,8,6
3/20/2015,86,39,10,49,8,6
3/21/2015,91,56,12,57,13,6
3/22/2015,138,47,39,34,3,5
3/23/2015,105,60,50,49,5,5
3/24/2015,112,57,38,38,4,5
3/25/2015,121,50,32,38,4,4
3/26/2015,98,52,27,48,6,6
3/27/2015,114,49,13,71,8,8
3/28/2015,115,45,29,54,13,7
3/29/2015,103,43,33,51,5,5
3/30/2015,98,51,30,56,7,6
3/31/2015,115,38,11,45,6,6
4/1/2015,91,28,14,35,5,5
4/2/2015,73,25,15,33,4,5
4/3/2015,64,22,15,31,4,4
4/4/2015,58,19,17,30,4,4
4/5/2015,55,27,23,31,5,3
4/6/2015,75,26,9,32,12,3
4/7/2015,61,27,28,28,6,3
4/8/2015,68,29,16,43,6,7
4/9/2015,66,30,11,37,5,6
4/10/2015,76,29,8,52,8,7
4/11/2015,69,14,8,40,7,6
4/12/2015,45,30,39,58,10,7
4/13/2015,83,60,69,86,14,8
4/14/2015,128,52,44,69,11,5
4/15/2015,85,46,66,82,16,5
4/16/2015,78,39,54,83,14,7
4/17/2015,78,33,38,60,9,6
4/18/2015,71,30,17,38,5,4
4/19/2015,66,27,16,23,7,3
4/20/2015,64,35,18,40,8,4
,,,,,,
1/3/2016, ,29,17,36,3,6
1/4/2016,84,20,17,30,3,6
1/5/2016,61,34,14,35,5,7
1/6/2016,87,27,18,42,5,6
1/7/2016,70,30,29,35,3,7
1/8/2016,76,42,27,47,5,7
1/9/2016,100,45,34,29,3,6
1/10/2016,97,52,32,25,3,6
1/11/2016,115,18,19,42,4,7
1/12/2016,59,24,9,33,4,8
1/13/2016,64,31,25,34,3,7
1/14/2016,80,41,25,34,3,6
1/15/2016,96,28,26,31,2,6
1/16/2016,80,34,20,26,2,6
1/17/2016,85,30,24,35,4,8
1/18/2016,80,27,25,37,4,8
1/19/2016,71,43,30,32,4,7
1/20/2016,99,49,34,25,2,6
1/21/2016,120,24,19,29,3,7
1/22/2016,69,14,5,26,3,8
1/23/2016,48,20,16,32,4,5
1/24/2016,56,39,28,31,4,3
1/25/2016,86,46,30,44,6,3
1/26/2016,73,47,17,49,6,5
1/27/2016,81,27,12,41,4,6
1/28/2016,72,24,19,35,3,6
1/29/2016,67,12,16,32,3,5
1/30/2016,38,31,22,34,8,6
1/31/2016,78,29,28,21,6,4
2/1/2016,69,14,13,33,6,8
2/2/2016,44,19,10,32,7,8
2/3/2016,54,30,14,32,7,8
2/4/2016,81,54,15,46,12,10
2/5/2016,128,43,23,45,8,9
2/6/2016,107,49,40,43,6,5
2/7/2016,106,36,37,43,8,4
2/8/2016,72,39,37,40,7,4
2/9/2016,82,44,40,41,8,4
2/10/2016,87,35,37,26,8,4
2/11/2016,68,72,26,38,7,7
2/12/2016,106,37,15,33,6,7
2/13/2016,93,25,16,25,6,5
2/14/2016,66,30,19,38,8,9
2/15/2016,77,24,19,38,7,7
2/16/2016,68,37,14,40,8,7
2/17/2016,90,44,20,36,8,6
2/18/2016,96,27,19,36,6,7
2/19/2016,77,33,27,40,7,7
2/20/2016,84,40,31,47,8,7
2/21/2016,101,75,37,23,8,6
2/22/2016,131,88,33,37,7,7
2/23/2016,132,42,4,39,7,11
2/24/2016,91,18,10,35,6,8
2/25/2016,51,28,11,34,6,7
2/26/2016,71,55,12,37,7,8
2/27/2016,114,59,10,44,10,10
2/28/2016,142,30,27,46,8,8
2/29/2016,80,49,38,52,9,8
3/1/2016,101,77,45,33,7,7
3/2/2016,152,57,47,36,7,6
3/3/2016,114,46,29,49,7,7
3/4/2016,88,45,21,47,7,7
3/5/2016,91,42,22,42,9,8
3/6/2016,89,45,5,54,21,10
3/7/2016,104,45,13,43,11,8
3/8/2016,107,36,23,34,6,7
